timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1785358293915,1357,POST /api/transactions (crear gasto),201,Created,Carga - Flujo completo de usuario (10 usuarios) 1-1,text,true,,1713,619,10,10,https://finsense-backend-ypwx.onrender.com/api/transactions,1357,0,0
1785358295030,442,GET /api/auth/me,200,OK,Carga - Flujo completo de usuario (10 usuarios) 1-8,text,true,,2398,466,10,10,https://finsense-backend-ypwx.onrender.com/api/auth/me,442,0,0
1785358294551,1342,POST /api/transactions (crear gasto),201,Created,Carga - Flujo completo de usuario (10 usuarios) 1-2,text,true,,1713,619,10,10,https://finsense-backend-ypwx.onrender.com/api/transactions,1342,0,0
1785358295256,671,GET /api/transactions,200,OK,Carga - Flujo completo de usuario (10 usuarios) 1-6,text,true,,25057,471,10,10,https://finsense-backend-ypwx.onrender.com/api/transactions,558,0,0
1785358295748,412,GET /api/auth/me,200,OK,Carga - Flujo completo de usuario (10 usuarios) 1-9,text,true,,2398,466,10,10,https://finsense-backend-ypwx.onrender.com/api/auth/me,412,0,0
1785358294709,1771,POST /api/transactions (crear gasto),201,Created,Carga - Flujo completo de usuario (10 usuarios) 1-3,text,true,,1713,619,10,10,https://finsense-backend-ypwx.onrender.com/api/transactions,1771,0,0
1785358296838,441,GET /api/auth/me,200,OK,Carga - Flujo completo de usuario (10 usuarios) 1-10,text,true,,2398,466,10,10,https://finsense-backend-ypwx.onrender.com/api/auth/me,441,0,0
1785358296838,457,GET /api/transactions,200,OK,Carga - Flujo completo de usuario (10 usuarios) 1-7,text,true,,25315,471,10,10,https://finsense-backend-ypwx.onrender.com/api/transactions,342,0,0
1785358296708,901,POST /api/transactions (crear gasto),201,Created,Carga - Flujo completo de usuario (10 usuarios) 1-4,text,true,,1713,619,10,10,https://finsense-backend-ypwx.onrender.com/api/transactions,901,0,0
1785358297279,650,GET /api/budgets,200,OK,Carga - Flujo completo de usuario (10 usuarios) 1-1,text,true,,1363,466,10,10,https://finsense-backend-ypwx.onrender.com/api/budgets,650,0,0
1785358297051,911,POST /api/transactions (crear gasto),201,Created,Carga - Flujo completo de usuario (10 usuarios) 1-5,text,true,,1713,619,10,10,https://finsense-backend-ypwx.onrender.com/api/transactions,910,0,0
1785358297482,624,GET /api/transactions,200,OK,Carga - Flujo completo de usuario (10 usuarios) 1-8,text,true,,25382,471,10,10,https://finsense-backend-ypwx.onrender.com/api/transactions,495,0,0
1785358297897,565,GET /api/budgets,200,OK,Carga - Flujo completo de usuario (10 usuarios) 1-2,text,true,,1363,466,10,10,https://finsense-backend-ypwx.onrender.com/api/budgets,565,0,0
1785358297929,884,POST /api/transactions (crear gasto),201,Created,Carga - Flujo completo de usuario (10 usuarios) 1-6,text,true,,1713,619,10,10,https://finsense-backend-ypwx.onrender.com/api/transactions,884,0,0
1785358298493,399,GET /api/budgets,200,OK,Carga - Flujo completo de usuario (10 usuarios) 1-3,text,true,,1363,466,10,10,https://finsense-backend-ypwx.onrender.com/api/budgets,399,0,0
1785358298177,876,GET /api/transactions,200,OK,Carga - Flujo completo de usuario (10 usuarios) 1-9,text,true,,25382,471,10,10,https://finsense-backend-ypwx.onrender.com/api/transactions,380,0,0
